thigh_left_length,calf_left_length,thigh_right_length,calf_right_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.15330774546524253,0.2985606079470725,0.19361454676381562,0.23196895519727526,MN8014,MAD_M6C12,42.114343389201686,6.279232015971371,WPG,CPG,0.11191906616979139,0.30963610844709866,3,-188.06089744313923,892.6,5.2,35.2
0.16333864130102177,0.2952823354739225,0.20594548901557477,0.22801885191493232,MN8014,MAD_M6C12,44.30580171402321,4.22921421835764,WPG,CPG,0.1138051996901135,0.3046997202047177,2,-163.8556882636654,900.1,4.8,34.2
0.15271645268198472,0.31715756136983686,0.1986163414981295,0.2290535990780822,MN8014,MAD_M6C12,47.63687573943202,4.186622056163298,WPG,CPG,0.10727176510701944,0.30026978522988357,2,-155.3988783931486,985.1,5.9,35.1
0.15018140570308847,0.31037540096881455,0.21600733087372873,0.253081055036652,MN8014,MAD_M6C12,43.63565256476254,4.651220648874131,WPG,CPG,0.11253041557445605,0.3000706643824711,3,-161.3530835166248,927.1,4.2,36.3
0.15195797981784143,0.32618524031080154,0.2082083819354266,0.26454448831614363,MN8014,MAD_M6C12,46.342773285407944,8.657237938494404,WPG,CPG,0.10481227059198125,0.3000570811614197,5,-166.70385376408703,840.3,6.1,36.2
0.15219086527461204,0.34937541092820457,0.20751851191808024,0.2797932662089561,MN8014,MAD_M6C12,46.88397073959038,7.263548907553578,WPG,CPG,0.11112876651202652,0.30292244516055394,0,-166.54353429075692,925.1,6.2,35.2
0.15952350031838627,0.3439909412121291,0.21073821236279555,0.2708914091004465,MN8014,MAD_M6C12,48.47242591188443,4.607940129436371,WPG,SSPG,0.11613683651713036,0.3054483563379053,5,-200.86313732274797,978.8,6.5,34.6
0.1637014255349653,0.34414577092634435,0.20039450177212653,0.28889897673745896,MN8014,MAD_M6C12,45.25722570935379,5.866520683260729,WPG,SSPG,0.11562494887122292,0.3000670327192762,4,-171.47403309853584,969.9,7.1,34.3
0.1684133053407776,0.332194915296754,0.21482795862921267,0.3045118726613685,MN8014,MAD_M6C12,45.027660198594816,8.603917159226302,WPG,CPG,0.1233758359088793,0.30033830769915704,4,-157.2218207961395,976.9,6.4,33.8
0.17476643955895718,0.334900025556526,0.1960912720391298,0.30571118087213556,MN8014,MAD_M6C12,50.11752596947399,4.00015293180664,WPG,CPG,0.12153743731928109,0.30866947269696376,0,-196.48058296044184,998.3,5.7,33.0
0.15001244569613106,0.34460478742324535,0.2185151393290929,0.2954354274399408,MN8014,MAD_M6C12,47.47360554434058,4.41644031119429,WPG,SSPG,0.12614144117427772,0.3225574384846769,3,-179.28110896396817,946.7,5.7,39.7
0.17381818616476516,0.29788572567867827,0.22999624293061882,0.29639078718073253,U12,VT8020,40.52678470698001,4.76959767299305,WPG,SSPG,0.12813839926217097,0.31981443463237735,4,-161.78818314623925,1000.0,4.9,33.4
0.1675208901517572,0.3121383006454005,0.23389198095962335,0.28269163203256364,MN8014,MAD_M6C12,50.91021129031954,4.115068253063866,WPG,CPG,0.13693300586650417,0.30514925938095844,0,-164.90394773128762,997.0,5.4,38.2
0.20343719134976013,0.2596659347925224,0.24611395918555273,0.2880609296933956,MN8014,MAD_M6C12,38.3127701001758,4.488788387237292,WPG,CPG,0.14019289314803401,0.3065260229433615,4,-166.67634312818038,994.2,5.9,36.7
0.1700189388044427,0.2701791414470345,0.21995770656175528,0.26461652920781664,MN8014,MAD_M6C12,39.342847446145036,7.347177460304592,WPG,CPG,0.13385988107271213,0.30054502277360395,0,-159.99966724463945,936.7,5.3,34.7
0.18139841407718577,0.2605295925050271,0.2113216968341508,0.25951828896823226,U12,MAD_M6C12,35.00609095777765,4.882833970148487,WPG,CPG,0.13905485398811473,0.3002462450540504,3,-163.6194918228328,994.1,7.7,35.1
0.16765720410207263,0.3059162117923902,0.22188837733172093,0.266242416596667,U12,MAD_M6C12,28.29960793779419,6.946923673662315,WPG,CPG,0.12521368605193872,0.3007005382324119,2,-177.57051342033122,983.2,5.7,36.9
