iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
5 , 11.099099099099098 , 0.6 , 0.6 , 18 , 59 , 37 , 114 , 3 , 18.63 , 18.63 , 20.953 , 20.953 , 1.353 , 0.941 , 42.395 , -0.17518155211537573 , 31.334 , 0.103 , 117.58301461618481
7 , 11.2 , 0.6 , 0.6 , 18 , 54 , 30 , 102 , 3 , 18.71 , 18.71 , 25.069 , 25.069 , 1.322 , 0.937 , 42.781 , -0.1911826181273803 , 32.361 , 0.081 , 120.77953932090709
5 , 11.302083333333334 , 0.5 , 0.5 , 24 , 69 , 36 , 129 , 3 , 17.959 , 17.959 , 27.561 , 27.561 , 1.379 , 0.949 , 43.171 , -0.15975850220056187 , 31.306 , 0.103 , 123.51928713157773
9 , 11.410714285714285 , 0.7 , 0.7 , 18 , 53 , 28 , 99 , 3 , 13.759 , 13.759 , 19.792 , 19.792 , 1.309 , 0.935 , 43.586 , -0.08710375606203924 , 33.297 , 0.103 , 111.55125530748533
6 , 11.5 , 0.5 , 0.5 , 24 , 68 , 34 , 126 , 3 , 17.97 , 17.97 , 29.215 , 29.215 , 1.386 , 0.947 , 43.927 , -0.17733678420444837 , 31.693 , 0.103 , 125.18426637582111
5 , 11.614617940199336 , 0.5 , 0.5 , 21 , 71 , 43 , 135 , 3 , 21.542 , 21.542 , 25.994 , 25.994 , 1.404 , 0.948 , 44.365 , -0.025872779538245683 , 31.599 , 0.103 , 125.53576576058055
8 , 11.700980392156863 , 0.6 , 0.6 , 18 , 59 , 34 , 111 , 3 , 18.63 , 18.63 , 23.333 , 23.333 , 1.364 , 0.939 , 44.694 , -0.1693113784720901 , 32.767 , 0.103 , 119.9622932805328
2 , 11.801242236024844 , 0.5 , 0.5 , 21 , 74 , 46 , 141 , 3 , 21.506 , 21.506 , 25.015 , 25.015 , 1.406 , 0.949 , 45.077 , -0.15973118688085747 , 32.06 , 0.103 , 124.52083389888197
4 , 11.902597402597403 , 0.5 , 0.5 , 21 , 73 , 44 , 138 , 3 , 21.518 , 21.518 , 26.011 , 26.011 , 1.408 , 0.949 , 45.465 , -0.14488901623236383 , 32.29 , 0.103 , 125.52902374923441
7 , 12.0 , 0.5 , 0.5 , 24 , 66 , 30 , 120 , 3 , 17.993 , 17.993 , 33.368 , 33.368 , 1.364 , 0.944 , 45.837 , -0.18248291967202324 , 33.605 , 0.081 , 128.3605840699804
4 , 12.104166666666666 , 0.6 , 0.6 , 18 , 65 , 40 , 123 , 3 , 18.547 , 18.547 , 20.998 , 20.998 , 1.366 , 0.942 , 46.235 , -0.1388411541830299 , 33.847 , 0.103 , 117.54461754056821
