Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000306199577916,0.05243606316194727,10.61185473159925,0.26926192923996234,0.17605369851311026,a2ca3be2,747.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000306199577916,0.05834106872967833,10.61185473159925,0.26926192923996234,0.17605369851311026,a2ca3be2,747.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000306199577916,0.058542918581336624,10.61185473159925,0.26926192923996234,0.17605369851311026,a2ca3be2,747.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000306199577916,0.05826746213468021,10.61185473159925,0.26926192923996234,0.17605369851311026,a2ca3be2,747.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000306199577916,0.05926430826125224,10.61185473159925,0.26926192923996234,0.17605369851311026,a2ca3be2,747.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000146635945015,0.049935445370237204,10.608571034893224,0.2692500171308392,0.17520996816167156,37015a55,744.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000146635945015,0.05891277689776189,10.608571034893224,0.2692500171308392,0.17520996816167156,37015a55,744.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000146635945015,0.058344625289347474,10.608571034893224,0.2692500171308392,0.17520996816167156,37015a55,744.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000146635945015,0.058455311750902815,10.608571034893224,0.2692500171308392,0.17520996816167156,37015a55,744.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000146635945015,0.05937012883417918,10.608571034893224,0.2692500171308392,0.17520996816167156,37015a55,744.9,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000221021905472,0.05570977072040469,10.611604734413481,0.2692555702448039,0.17606252469752073,e76b8e05,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000221021905472,0.05420671446676661,10.611604734413481,0.2692555702448039,0.17606252469752073,e76b8e05,745.2,2.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.3000221021905472,0.057877529925835135,10.611604734413481,0.2692555702448039,0.17606252469752073,e76b8e05,745.2,2.3,10.0
