Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.2054516306477239,0.328974261001375,VT8020,MAD_M6C12,4.660729034652368,4.295188452506889,CPG,CPG,0.05807234665114709,0.05195197939015365,3,1.8515739823193038,208.2,8.3,27.6,187.8,9.9,41.6,164.3,5.1,50.0
0.19191381485757952,0.34074017322422157,VT8020,MAD_M6C12,5.4969304079895345,4.2716057701761345,SSPG,CPG,0.060052952674548236,0.050858954320040776,7,1.9209883898885476,229.1,8.1,27.2,185.4,10.0,43.6,187.6,5.8,48.1
0.21929342543302208,0.33214233675527693,VT8020,MAD_M6C12,4.97005716828224,4.016108739934829,SSPG,CPG,0.06674969609912633,0.05129092264321792,2,1.5731173965422784,212.9,9.0,28.7,218.1,10.0,41.0,183.8,6.6,50.0
0.2093574885448751,0.3309234412905898,VT8020,MAD_M6C12,5.3779792138565705,5.015342064529782,SSPG,SSPG,0.07488399627746688,0.050034596139641035,1,1.806704835298464,217.4,8.6,29.1,187.7,9.9,43.9,173.0,5.9,49.6
0.20362076136778123,0.3279133795621231,VT8020,MAD_M6C12,5.76111528352634,5.589540747217326,SSPG,CPG,0.0742836904491019,0.05000022852331961,1,1.7421869272428632,211.3,7.9,27.4,183.9,9.8,44.2,175.3,6.5,50.0
0.21693640368448205,0.33299877331853933,VT8020,MAD_M6C12,5.900670372492255,5.583143445295311,SSPG,CPG,0.08541447030782341,0.05066024224902741,0,1.7825143365105736,197.9,8.4,29.0,162.0,9.6,43.9,185.8,6.6,50.0
0.216093177122475,0.3156737851627375,VT8020,MAD_M6C12,8.21157747638937,8.692213277738222,CPG,CPG,0.08941299562622507,0.05098057159479689,4,2.399869421220873,202.6,7.3,28.9,153.8,10.0,43.1,149.6,6.5,49.8
0.22548809666059377,0.3075965863193574,VT8020,MAD_M6C12,6.3404899564602974,6.587385470544721,SSPG,CPG,0.084521272816887,0.05266875075761993,4,1.8220382594340285,209.5,8.3,26.6,147.4,9.8,41.3,149.4,7.0,50.0
0.2184724060448428,0.30643867744359954,VT8020,MAD_M6C12,6.060100636522564,6.86476078238298,SSPG,CPG,0.08066989297805552,0.05161243295864128,2,2.0498286563890105,197.1,7.2,26.1,178.5,9.2,41.2,189.3,6.5,48.9
0.21393867451275284,0.3011349501464108,VT8020,MAD_M6C12,4.776730133471699,4.767138643735921,SSPG,SSPG,0.07755211303767214,0.06354554377839357,6,1.7298821279367727,237.2,6.9,26.7,210.6,9.7,45.5,159.7,5.8,48.5
0.2241360832156226,0.29769535862922636,VT8020,MAD_M6C12,4.854942590037867,4.050294601846796,CPG,CPG,0.0825134252988744,0.05002803908087974,7,1.7123503630120882,215.2,6.7,23.5,208.9,8.8,45.9,174.7,5.8,44.4
0.23018124546467567,0.3074183822592733,MN8014,MAD_M6C12,4.334201237049214,4.751310514629132,CPG,SSPG,0.07343012175566713,0.051580031033979026,3,1.4772263058355088,225.0,6.1,24.5,189.5,9.0,46.2,179.1,5.6,47.2
0.23252679784982974,0.3132412704984532,VT8020,MAD_M6C12,6.8534966474160175,6.33021743204635,CPG,CPG,0.08346727803341382,0.05388549594594526,2,1.6159887401041855,216.0,5.6,23.1,179.4,9.7,47.9,183.8,6.3,47.8
0.24041249430311443,0.31578431707197663,VT8020,MAD_M6C12,4.0208158185778915,4.000090829178769,CPG,CPG,0.07832626272727994,0.050129347155213534,6,1.7744606943622434,232.5,6.0,22.0,187.3,9.8,45.2,153.4,6.0,45.9
0.2331287300106561,0.3194228825443953,MN8014,MAD_M6C12,4.024354883269723,4.392334389795138,SSPG,SSPG,0.07447825638719037,0.05058088601572468,1,1.51154242358486,243.9,5.6,20.3,165.8,10.0,44.5,177.4,5.2,44.7
