thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,best_index,best_cost,ac1,ac2,ac3
0.34991410275796575,0.15062123093717267,U8,MAD_M6C12,29.00417446636528,6.512727445817321,WPG,CPG,0.11633030793900277,6,-2.568959326999912,512.4,8.0,37.4
0.3499868409860851,0.15144905943886416,U8,MAD_M6C12,31.326382458955297,6.511338778235045,WPG,CPG,0.1157890154691968,6,-2.5215921500152936,560.6,8.1,38.5
0.3498551896990662,0.15084948827124486,U8,MAD_M6C12,32.962020831358444,7.349735380215963,WPG,CPG,0.11371706710251071,0,-2.511375114991914,525.8,8.2,36.8
0.34952059349633713,0.15014220927438604,U8,MAD_M6C12,28.311923939515566,6.852308260637533,WPG,CPG,0.11958960377481925,4,-2.438827328857206,508.1,8.5,36.5
0.3497273568564565,0.15006539278307568,U8,MAD_M6C12,29.557049816508822,7.677246210669407,WPG,CPG,0.11791110975999054,1,-2.5347341641855534,486.7,8.8,35.9
0.3499611784011915,0.15008674418681497,U8,MAD_M6C12,28.49810512279635,7.178874884109975,WPG,CPG,0.12116674231059837,3,-2.524156438568702,511.6,8.6,36.6
0.3498639025967611,0.15077432377545522,U8,MAD_M6C12,27.205126128538478,7.045957233342513,WPG,CPG,0.1196174444675024,0,-2.520768227097535,497.3,8.4,37.0
0.34975722242946256,0.15018713812940454,U8,MAD_M6C12,28.36039965719241,6.922235426301933,WPG,CPG,0.12301196968435803,3,-2.464857249767034,453.3,8.3,40.3
0.34999999819705085,0.15189933540168568,U8,MAD_M6C12,29.66227130111298,6.475550437324548,WPG,CPG,0.12060479030048672,6,-2.5730670778532323,478.0,8.5,37.5
0.349949792964185,0.15139220546538149,U8,MAD_M6C12,30.098768605339608,7.045290916119589,WPG,CPG,0.12122743401628872,0,-2.565394621574555,487.8,8.2,37.9
0.34983656392021234,0.15021636612469147,U8,MAD_M6C12,29.710821185461143,6.710602183793373,WPG,CPG,0.11870559816322238,4,-2.546355616507694,515.3,8.7,35.4
0.34952679726039715,0.1509283890447062,U8,MAD_M6C12,28.98496926799599,7.06821045146575,WPG,CPG,0.11986333770965683,6,-2.536655609084553,489.3,8.6,35.7
0.3493721576218584,0.150056060735491,U8,MAD_M6C12,28.992823248569145,6.61617821952149,WPG,CPG,0.12379857354438571,0,-2.5559201948932317,470.7,8.7,36.3
0.3498856593801015,0.15002440849796286,U8,MAD_M6C12,29.728153755943246,6.057812742137301,WPG,SSPG,0.12016406879364323,5,-2.6032223174755504,465.2,9.1,35.7
0.34996397448667454,0.15000031349753368,U8,MAD_M6C12,26.682370482944332,6.107732115925101,WPG,SSPG,0.1228163763009293,3,-2.5397440768104937,486.3,8.9,35.2
0.34999700725460525,0.15002560106312773,U8,MAD_M6C12,28.32575069424383,6.5767530606111055,WPG,CPG,0.11805823987787414,1,-2.5869782681296796,525.1,8.7,35.0
0.3499729619443772,0.15010309517159565,U8,MAD_M6C12,28.745646000476153,6.144672848117979,WPG,SSPG,0.11805903206320763,3,-2.577664901076978,526.6,8.8,36.4
0.3499980395376965,0.15001342201747392,U8,MAD_M6C12,29.01595592290923,7.026595155968071,WPG,CPG,0.11361523203591974,5,-2.548313981544556,499.1,8.8,35.4
