motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,28.8,28.85185185185185,WPG,0.966,0.881,16.149722891313644,0.0518518518518504
U8,28.9,28.85185185185185,WPG,0.966,0.881,16.149722891313644,0.0481481481481473
U8,29.0,29.0,WPG,0.889,0.846,13.264571239142354,0.0
U8,29.1,29.166666666666668,WPG,0.91,0.842,13.857091353571452,0.0666666666666664
U8,29.2,29.166666666666668,WPG,0.91,0.842,13.857091353571452,0.0333333333333314
U8,29.3,29.285714285714285,WPG,0.972,0.89,16.194044221531637,0.014285714285716
U8,29.4,29.33333333333333,WPG,0.972,0.902,15.469650411148548,0.0666666666666699
U8,29.5,29.46938775510204,WPG,0.962,0.886,17.785654832856505,0.0306122448979593
U8,29.6,29.571428571428573,WPG,0.86,0.843,9.945717302437266,0.0285714285714284
U8,29.7,29.6875,WPG,0.863,0.794,11.551685097443386,0.0124999999999992
U8,29.8,29.75,WPG,0.984,0.849,16.837159614054407,0.0500000000000007
U8,30.0,30.0,WPG,0.918,0.881,13.55927906216247,0.0
U8,30.3,30.4,WPG,0.991,0.87,15.991629618837107,0.0999999999999978
U8,30.4,30.4,WPG,0.991,0.87,15.991629618837107,0.0
U8,30.5,30.545454545454547,WPG,0.933,0.811,14.523686057145806,0.0454545454545467
U8,30.6,30.6,WPG,0.973,0.851,11.72083584007502,0.0
U8,30.7,30.75,WPG,0.996,0.895,16.868587279439947,0.0500000000000007
U8,30.8,30.814814814814813,WPG,0.93,0.849,12.612331829937464,0.0148148148148123
U8,30.9,30.814814814814813,WPG,0.93,0.849,12.612331829937464,0.0851851851851854
U8,31.0,31.0,WPG,0.922,0.853,16.673016982460727,0.0
U8,31.1,31.085714285714285,WPG,0.935,0.858,14.982200361309808,0.014285714285716
U8,31.2,31.25,WPG,0.936,0.846,13.790360542864017,0.0500000000000007
U8,31.3,31.25,WPG,0.936,0.846,13.790360542864017,0.0500000000000007
U8,31.4,31.45,WPG,0.939,0.862,13.72093517761552,0.0500000000000007
U8,31.5,31.45,WPG,0.939,0.862,13.72093517761552,0.0500000000000007
U8,31.6,31.666666666666668,WPG,0.998,0.89,18.98333384285437,0.0666666666666664
U8,31.7,31.714285714285715,WPG,1.003,0.874,20.03313816503943,0.014285714285716
U8,31.8,31.85185185185185,WPG,1.015,0.881,16.963367538308518,0.0518518518518504
U8,31.9,31.875,WPG,0.947,0.839,15.706039185174,0.0249999999999985
U8,32.0,32.0,WPG,1.019,0.865,18.786117616352,0.0
U8,32.1,32.111111111111114,WPG,0.948,0.869,15.25987110104925,0.0111111111111128
U8,32.2,32.25,WPG,1.021,0.89,16.972207769113588,0.0499999999999971
U8,32.3,32.25,WPG,1.021,0.89,16.972207769113588,0.0499999999999971
U8,32.5,32.5,WPG,0.895,0.794,12.067423937385858,0.0
U8,32.6,32.57142857142857,WPG,0.882,0.791,13.299145672930402,0.028571428571432
U8,32.7,32.68,WPG,1.028,0.868,17.691352790028365,0.0200000000000031
U8,32.8,32.76190476190476,WPG,1.036,0.816,18.6168163054521,0.0380952380952379
U8,32.9,32.888888888888886,WPG,0.96,0.842,14.683086726204875,0.0111111111111128
U8,33.0,33.0,WPG,0.961,0.849,13.081593867222306,0.0
U8,33.1,33.1578947368421,WPG,1.107,0.759,18.869498941871427,0.0578947368421012
U8,33.2,33.1578947368421,WPG,1.107,0.759,18.869498941871427,0.0421052631579002
U8,33.3,33.291666666666664,WPG,1.089,0.818,17.165507217960705,0.0083333333333328
U8,33.4,33.476190476190474,WPG,1.031,0.881,20.93858214466477,0.0761904761904759
U8,33.5,33.476190476190474,WPG,1.031,0.881,20.93858214466477,0.0238095238095255
U8,33.6,33.583333333333336,WPG,0.92,0.803,13.76562005388578,0.0166666666666657
U8,33.7,33.785714285714285,WPG,1.046,0.895,17.638787800392716,0.0857142857142818
U8,33.8,33.785714285714285,WPG,1.046,0.895,17.638787800392716,0.0142857142857124
U8,34.0,34.0,WPG,1.054,0.845,20.38433730072141,0.0
U8,34.2,34.22222222222222,WPG,0.919,0.722,14.778293731782588,0.0222222222222185
U8,34.3,34.34615384615385,WPG,1.1,0.85,17.24012443606378,0.0461538461538495
U8,34.4,34.34615384615385,WPG,1.1,0.85,17.24012443606378,0.0538461538461518
U8,34.5,34.46153846153846,WPG,1.063,0.815,20.105654843603883,0.0384615384615401
U8,34.6,34.61538461538461,WPG,1.062,0.803,13.067073851076726,0.0153846153846117
U8,34.7,34.75555555555555,WPG,1.11,0.817,18.356206996799354,0.05555555555555
U8,34.8,34.75555555555555,WPG,1.11,0.817,18.356206996799354,0.0444444444444442
U8,34.9,34.97142857142857,WPG,0.988,0.858,15.829273353015449,0.0714285714285694
U8,35.0,35.0,WPG,0.935,0.83,14.480370814830556,0.0
U10,4.0,4.0,CPG,0.829,0.963,-0.3714488117650367,0.0
U10,4.1,4.099099099099099,CPG,0.849,0.964,-0.3568793384278323,0.0009009009009002
U10,4.2,4.2,CPG,0.838,0.962,-0.3676170766333099,0.0
U10,4.3,4.3,CPG,0.88,0.963,-0.354721664768501,0.0
U10,4.4,4.4,SSPG,0.827,0.956,-0.3675146342522011,0.0
U10,4.5,4.5,CPG,0.838,0.958,-0.3651366873757354,0.0
U10,4.6,4.6,SSPG,0.836,0.957,-0.3653526553504592,0.0
U10,4.7,4.699604743083004,CPG,0.918,0.967,-0.340846805562377,0.0003952569169962
U10,4.8,4.8,SSPG,0.855,0.958,-0.3598699818353869,0.0
